SerialNo.,GREScore,TOEFLScore,UniversityRating,SOP,LOR,CGPA,Research,Admit
387.00,302.00,101.00,2.00,2.50,3.50,7.96,0.00,0.46
388.00,307.00,105.00,2.00,2.00,3.50,8.10,0.00,0.53
389.00,296.00,97.00,2.00,1.50,2.00,7.80,0.00,0.49
390.00,320.00,108.00,3.00,3.50,4.00,8.44,1.00,0.76
391.00,314.00,102.00,2.00,2.00,2.50,8.24,0.00,0.64
392.00,318.00,106.00,3.00,2.00,3.00,8.65,0.00,0.71
393.00,326.00,112.00,4.00,4.00,3.50,9.12,1.00,0.84
394.00,317.00,104.00,2.00,3.00,3.00,8.76,0.00,0.77
395.00,329.00,111.00,4.00,4.50,4.00,9.23,1.00,0.89
396.00,324.00,110.00,3.00,3.50,3.50,9.04,1.00,0.82
397.00,325.00,107.00,3.00,3.00,3.50,9.11,1.00,0.84
398.00,330.00,116.00,4.00,5.00,4.50,9.45,1.00,0.91
399.00,312.00,103.00,3.00,3.50,4.00,8.78,0.00,0.67
400.00,333.00,117.00,4.00,5.00,4.00,9.66,1.00,0.95
401.00,304.00,100.00,2.00,3.50,3.00,8.22,0.00,0.63
402.00,315.00,105.00,2.00,3.00,3.00,8.34,0.00,0.66
403.00,324.00,109.00,3.00,3.50,3.00,8.94,1.00,0.78
404.00,330.00,116.00,4.00,4.00,3.50,9.23,1.00,0.91
405.00,311.00,101.00,3.00,2.00,2.50,7.64,1.00,0.62
406.00,302.00,99.00,3.00,2.50,3.00,7.45,0.00,0.52
407.00,322.00,103.00,4.00,3.00,2.50,8.02,1.00,0.61
408.00,298.00,100.00,3.00,2.50,4.00,7.95,1.00,0.58
409.00,297.00,101.00,3.00,2.00,4.00,7.67,1.00,0.57
410.00,300.00,98.00,1.00,2.00,2.50,8.02,0.00,0.61
411.00,301.00,96.00,1.00,3.00,4.00,7.56,0.00,0.54
412.00,313.00,94.00,2.00,2.50,1.50,8.13,0.00,0.56
413.00,314.00,102.00,4.00,2.50,2.00,7.88,1.00,0.59
414.00,317.00,101.00,3.00,3.00,2.00,7.94,1.00,0.49
415.00,321.00,110.00,4.00,3.50,4.00,8.35,1.00,0.72
416.00,327.00,106.00,4.00,4.00,4.50,8.75,1.00,0.76
417.00,315.00,104.00,3.00,4.00,2.50,8.10,0.00,0.65
418.00,316.00,103.00,3.00,3.50,2.00,7.68,0.00,0.52
419.00,309.00,111.00,2.00,2.50,4.00,8.03,0.00,0.60
420.00,308.00,102.00,2.00,2.00,3.50,7.98,1.00,0.58
421.00,299.00,100.00,3.00,2.00,3.00,7.42,0.00,0.42
422.00,321.00,112.00,3.00,3.00,4.50,8.95,1.00,0.77
423.00,322.00,112.00,4.00,3.50,2.50,9.02,1.00,0.73
424.00,334.00,119.00,5.00,4.50,5.00,9.54,1.00,0.94
425.00,325.00,114.00,5.00,4.00,5.00,9.46,1.00,0.91
426.00,323.00,111.00,5.00,4.00,5.00,9.86,1.00,0.92
427.00,312.00,106.00,3.00,3.00,5.00,8.57,0.00,0.71
428.00,310.00,101.00,3.00,3.50,5.00,8.65,1.00,0.71
429.00,316.00,103.00,2.00,2.00,4.50,8.74,0.00,0.69
430.00,340.00,115.00,5.00,5.00,4.50,9.06,1.00,0.95
431.00,311.00,104.00,3.00,4.00,3.50,8.13,1.00,0.74
432.00,320.00,112.00,2.00,3.50,3.50,8.78,1.00,0.73
433.00,324.00,112.00,4.00,4.50,4.00,9.22,1.00,0.86
434.00,316.00,111.00,4.00,4.00,5.00,8.54,0.00,0.71
435.00,306.00,103.00,3.00,3.50,3.00,8.21,0.00,0.64
436.00,309.00,105.00,2.00,2.50,4.00,7.68,0.00,0.55
437.00,310.00,110.00,1.00,1.50,4.00,7.23,1.00,0.58
438.00,317.00,106.00,1.00,1.50,3.50,7.65,1.00,0.61
439.00,318.00,110.00,1.00,2.50,3.50,8.54,1.00,0.67
440.00,312.00,105.00,2.00,1.50,3.00,8.46,0.00,0.66
441.00,305.00,104.00,2.00,2.50,1.50,7.79,0.00,0.53
442.00,332.00,112.00,1.00,1.50,3.00,8.66,1.00,0.79
443.00,331.00,116.00,4.00,4.50,4.50,9.44,1.00,0.92
444.00,321.00,114.00,5.00,4.50,4.50,9.16,1.00,0.87
445.00,324.00,113.00,5.00,4.00,5.00,9.25,1.00,0.92
446.00,328.00,116.00,5.00,4.50,5.00,9.08,1.00,0.91
447.00,327.00,118.00,4.00,5.00,5.00,9.67,1.00,0.93
448.00,320.00,108.00,3.00,3.50,5.00,8.97,1.00,0.84
449.00,312.00,109.00,2.00,2.50,4.00,9.02,0.00,0.80
450.00,315.00,101.00,3.00,3.50,4.50,9.13,0.00,0.79
451.00,320.00,112.00,4.00,3.00,4.50,8.86,1.00,0.82
452.00,324.00,113.00,4.00,4.50,4.50,9.25,1.00,0.89
453.00,328.00,116.00,4.00,5.00,3.50,9.60,1.00,0.93
454.00,319.00,103.00,3.00,2.50,4.00,8.76,1.00,0.73
455.00,310.00,105.00,2.00,3.00,3.50,8.01,0.00,0.71
456.00,305.00,102.00,2.00,1.50,2.50,7.64,0.00,0.59
457.00,299.00,100.00,2.00,2.00,2.00,7.88,0.00,0.51
458.00,295.00,99.00,1.00,2.00,1.50,7.57,0.00,0.37
459.00,312.00,100.00,1.00,3.00,3.00,8.53,1.00,0.69
460.00,329.00,113.00,4.00,4.00,3.50,9.36,1.00,0.89
461.00,319.00,105.00,4.00,4.00,4.50,8.66,1.00,0.77
462.00,301.00,102.00,3.00,2.50,2.00,8.13,1.00,0.68
463.00,307.00,105.00,4.00,3.00,3.00,7.94,0.00,0.62
464.00,304.00,107.00,3.00,3.50,3.00,7.86,0.00,0.57
465.00,298.00,97.00,2.00,2.00,3.00,7.21,0.00,0.45
466.00,305.00,96.00,4.00,3.00,4.50,8.26,0.00,0.54
467.00,314.00,99.00,4.00,3.50,4.50,8.73,1.00,0.71
468.00,318.00,101.00,5.00,3.50,5.00,8.78,1.00,0.78
469.00,323.00,110.00,4.00,4.00,5.00,8.88,1.00,0.81
470.00,326.00,114.00,4.00,4.00,3.50,9.16,1.00,0.86
471.00,320.00,110.00,5.00,4.00,4.00,9.27,1.00,0.87
472.00,311.00,103.00,3.00,2.00,4.00,8.09,0.00,0.64
473.00,327.00,116.00,4.00,4.00,4.50,9.48,1.00,0.90
474.00,316.00,102.00,2.00,4.00,3.50,8.15,0.00,0.67
475.00,308.00,105.00,4.00,3.00,2.50,7.95,1.00,0.67
476.00,300.00,101.00,3.00,3.50,2.50,7.88,0.00,0.59
477.00,304.00,104.00,3.00,2.50,2.00,8.12,0.00,0.62
478.00,309.00,105.00,4.00,3.50,2.00,8.18,0.00,0.65
479.00,318.00,103.00,3.00,4.00,4.50,8.49,1.00,0.71
480.00,325.00,110.00,4.00,4.50,4.00,8.96,1.00,0.79
481.00,321.00,102.00,3.00,3.50,4.00,9.01,1.00,0.80
482.00,323.00,107.00,4.00,3.00,2.50,8.48,1.00,0.78
483.00,328.00,113.00,4.00,4.00,2.50,8.77,1.00,0.83
484.00,304.00,103.00,5.00,5.00,3.00,7.92,0.00,0.71
485.00,317.00,106.00,3.00,3.50,3.00,7.89,1.00,0.73
486.00,311.00,101.00,2.00,2.50,3.50,8.34,1.00,0.70
487.00,319.00,102.00,3.00,2.50,2.50,8.37,0.00,0.68
488.00,327.00,115.00,4.00,3.50,4.00,9.14,0.00,0.79
489.00,322.00,112.00,3.00,3.00,4.00,8.62,1.00,0.76
490.00,302.00,110.00,3.00,4.00,4.50,8.50,0.00,0.65
491.00,307.00,105.00,2.00,2.50,4.50,8.12,1.00,0.67
492.00,297.00,99.00,4.00,3.00,3.50,7.81,0.00,0.54
493.00,298.00,101.00,4.00,2.50,4.50,7.69,1.00,0.53
494.00,300.00,95.00,2.00,3.00,1.50,8.22,1.00,0.62
495.00,301.00,99.00,3.00,2.50,2.00,8.45,1.00,0.68
496.00,332.00,108.00,5.00,4.50,4.00,9.02,1.00,0.87
497.00,337.00,117.00,5.00,5.00,5.00,9.87,1.00,0.96
498.00,330.00,120.00,5.00,4.50,5.00,9.56,1.00,0.93
499.00,312.00,103.00,4.00,4.00,5.00,8.43,0.00,0.73
500.00,327.00,113.00,4.00,4.50,4.50,9.04,0.00,0.84
